,feature,class
0,"[-3.3057718e+02  5.3818100e+01 -1.0221351e+02  3.4355700e+00
  4.9114639e+01  3.4567719e+01 -2.6780561e+01 -1.9252750e+01
  2.8148233e+01  1.0648170e+01 -1.1794323e+01  1.3120981e+00
  9.5004969e+00  4.8895893e+00 -2.3368633e+00  4.0348182e+00
  4.3689078e-01  1.5816447e+00  1.4935571e+00  3.4084523e+00
 -6.9115335e-01  1.7334632e+00  1.8282034e+00  1.7071993e+00
  2.5995481e+00  1.8888532e+00  2.4774396e+00  4.2163177e+00
  1.4335985e-02  2.1547387e+00  4.8467493e+00  9.7474188e-01
  1.8190118e+00  1.6907434e+00  9.9674135e-01  1.7342900e+00
  2.3253009e+00  1.6256289e+00  7.8193438e-01  2.3889148e+00]",beeBird
1,"[-4.1076965e+02  7.9340286e+01  2.8712158e+01  1.6823074e+01
  1.3918196e+01  2.1502975e+01  1.2868047e+01  1.5267779e+01
  5.6243095e+00  2.9649243e+00 -1.5236238e+00  2.1819944e+00
  2.9283621e+00  4.6377525e+00 -1.3309715e+00  8.1200391e-02
 -2.2829847e+00  2.3377259e+00 -1.5735828e+00  9.3936354e-02
 -2.8948228e+00 -1.2731191e+00 -1.4988889e+00  2.0118506e-01
 -1.1761104e+00 -2.5606915e-01 -3.8953543e+00 -1.4847308e+00
 -2.5500433e+00 -5.0603420e-01 -1.7099562e+00 -3.8345450e-01
 -1.2248505e+00 -8.2070345e-01 -9.7029352e-01 -4.5752153e-02
 -7.1246648e-01 -3.8576961e-01 -1.8828956e+00 -5.9054029e-01]",beeBird
2,"[-3.4108551e+02  9.6261833e+01 -6.3321304e+01  1.1881782e+01
  7.5858622e+00  2.0364113e+01 -1.6569605e+01 -2.6217199e+01
  2.1367449e+01  6.3147359e+00 -5.9515634e+00 -3.6923718e+00
  4.3679981e+00  1.2334252e+01 -6.8294058e+00 -3.5631199e+00
  1.6095254e+00 -7.2334528e-01 -8.9929396e-01  1.7563421e+00
 -3.0178854e+00 -2.3798544e+00 -5.5788092e-02 -2.6023676e+00
 -3.7867916e+00 -4.2122474e+00 -4.0119047e+00 -1.3934100e+00
 -5.5604305e+00 -5.5347714e+00 -7.4730414e-01 -4.9401684e+00
 -4.5704703e+00 -4.6717753e+00 -2.8689556e+00 -1.3690782e+00
 -3.6181109e+00 -4.4763255e+00 -1.6770506e+00 -3.1525476e+00]",beeBird
3,"[-3.6302982e+02  9.9397255e+01 -4.9481136e+01  2.6542025e+01
 -1.8237959e+01  2.0433784e+01 -7.0409884e+00 -1.2796764e+01
  8.1531429e+00  4.4189639e+00 -2.2744706e+00  1.6448353e-01
  3.7705259e+00  8.8561430e+00 -1.2970557e+00 -2.2169275e+00
  7.6922423e-01 -8.6040616e-01 -8.6417872e-01  1.9127755e+00
 -4.4174719e+00 -2.0132966e+00 -3.6476752e-01 -4.9350982e+00
 -1.4612800e+00 -3.1086948e+00 -4.7425570e+00 -1.5711710e+00
 -5.4467378e+00 -5.1056561e+00 -3.1738954e+00 -4.7838225e+00
 -3.5589707e+00 -4.0505800e+00 -3.9409974e+00 -2.3473868e+00
 -2.3259747e+00 -4.1832361e+00 -3.9342899e+00 -3.2325659e+00]",beeBird
4,"[-369.81726     107.1933      -54.380543     18.489916    -16.843018
   26.726265    -12.668552    -12.5417        8.110008      7.2277164
   -5.5091853     0.99872196    0.4711361    10.954126     -2.7223928
   -2.8124819    -1.3837782     1.112062     -3.0167785     2.7035532
   -4.2479434    -0.592323     -0.4896119    -5.1094036    -2.2266417
   -2.5977573    -4.89939      -2.0430317    -6.110039     -4.168196
   -1.7736025    -4.0345187    -4.4087944    -1.6700071    -4.233463
   -2.0649002    -3.7773585    -2.718858     -1.8865868    -1.814534  ]",beeBird
5,"[-3.6741302e+02  1.0984399e+02 -6.8418877e+01  2.3983435e+01
 -3.1265879e+00  2.4514719e+01 -2.0497374e+01 -1.4840987e+01
  1.4342251e+01  4.0053778e+00 -1.0011344e+01  9.5864159e-01
  3.1940641e+00  8.5364799e+00 -1.9577289e+00  9.2035955e-01
 -2.5002029e+00 -3.7222502e-01 -2.3652716e+00  4.3543963e+00
 -5.8428965e+00 -3.3914716e+00  2.2335148e-01 -3.0376079e+00
 -3.0194483e+00 -3.8806202e+00 -4.4685974e+00 -1.6714842e+00
 -5.1052575e+00 -3.8591070e+00 -1.5174544e+00 -2.7039731e+00
 -2.9107115e+00 -1.7882646e+00 -2.6105154e+00 -5.3598469e-01
 -3.5356271e+00 -2.6099033e+00 -3.3594396e+00 -1.9642744e+00]",beeBird
6,"[-3.6820102e+02  8.7898590e+01 -3.7622040e+01  2.9154570e+01
 -1.8940639e+01  1.7928453e+01 -8.4087868e+00 -7.5510278e+00
  6.1953270e-01  2.7409635e+00 -6.3822956e+00  1.9492824e-01
  2.2105224e+00  7.3178692e+00 -4.0375426e-02 -1.2864516e+00
  3.5775673e-01  1.5793253e+00 -2.8359663e+00  3.1263738e+00
 -4.0659547e+00 -5.1770747e-01 -1.6989650e+00 -1.7166319e+00
 -3.6779451e+00 -3.7441118e+00 -5.5480094e+00 -1.6760532e+00
 -4.4650784e+00 -4.0185280e+00 -1.9675003e+00 -2.7103329e+00
 -1.2238990e+00 -7.6532972e-01 -3.7113364e+00 -6.5818912e-01
 -3.3394740e+00 -1.4813861e+00 -2.7198348e+00 -2.7882159e+00]",beeBird
7,"[-5.0043027e+02  9.1944183e+01 -4.1883793e+01  2.8792807e+01
 -1.2080523e+01  2.0787851e+01 -7.7399421e+00 -8.5451527e+00
  2.9359462e+00  1.3847890e+00 -8.7818842e+00 -6.6926688e-01
  6.4905971e-01  8.2453880e+00 -1.2026983e+00 -2.1800451e+00
  8.6352265e-01 -1.2243861e+00 -2.0542586e+00  2.2759919e+00
 -4.5816236e+00 -4.7708088e-01 -1.9205859e+00 -2.9989140e+00
 -2.9900348e+00 -3.8842840e+00 -4.2644324e+00 -1.6914586e+00
 -4.5503521e+00 -1.3043917e+00 -2.6165791e+00 -2.0442898e+00
 -1.4511679e+00 -2.0968001e+00 -2.5380385e+00 -2.3996067e-01
 -2.6610425e+00 -1.3671679e+00 -1.4794332e+00 -1.7262141e+00]",beeBird
8,"[-3.6193384e+02  8.8721001e+01 -5.9814816e+01  1.4738158e+01
  1.1152181e+01  2.6530710e+01 -1.7995359e+01 -1.9930647e+01
  1.7906506e+01  2.3036596e-01 -1.0299407e+01 -3.9136524e+00
  4.9273562e+00  6.8771605e+00 -3.0380616e+00 -3.2303371e+00
  2.9458621e+00 -2.0021367e+00 -2.0563397e+00  2.0708010e+00
 -4.9498029e+00 -2.4640248e+00 -1.9606566e+00 -1.6996436e+00
 -1.4211940e+00 -5.1736116e+00 -1.0166992e+00  1.3913580e+00
 -4.0178199e+00 -3.8039606e+00  6.9676369e-01 -2.5067980e+00
 -2.1087019e+00 -4.3609400e+00 -9.2964596e-01 -1.4310076e+00
 -3.2492466e+00 -1.5114053e+00 -9.3297535e-01 -1.8375626e-01]",beeBird
9,"[-3.13161530e+02  8.56561050e+01 -8.98221207e+01 -2.90120697e+00
  3.77910347e+01  3.46277122e+01 -2.65682373e+01 -3.95442772e+01
  2.22205582e+01  1.34205675e+01 -1.43407717e+01 -7.66235304e+00
  4.03330374e+00  1.69459076e+01 -8.19611645e+00 -2.70962238e-01
 -2.04104733e+00  2.66292095e-01 -4.00214583e-01  2.69737816e+00
 -7.64425421e+00 -1.83345997e+00 -3.20256186e+00 -3.08338881e+00
 -2.03024888e+00 -4.88820124e+00 -2.53771544e+00  7.07281351e-01
 -1.33459175e+00 -4.38929319e+00  3.69865417e-01 -2.40424037e+00
 -1.16222847e+00 -3.60657644e+00 -2.17049217e+00 -2.97152877e+00
 -3.21066022e+00 -3.04183340e+00 -2.83259082e+00 -4.84441996e-01]",beeBird
10,"[-335.5965      99.6002     -69.59675     14.9277935   13.625747
   19.62245    -13.202472   -21.610672    13.16482      2.6570582
   -3.4809802   -2.6997907    1.6683947    8.220452    -1.4218264
   -4.2512026    2.5469866    0.4360668   -1.8627733    3.9716396
   -4.320532    -2.043199    -2.1755824   -4.348635    -3.0675852
   -5.04481     -4.0360126   -1.9161445   -4.8657045   -4.222344
   -2.1418235   -4.1887336   -3.0935137   -4.374035    -4.8036184
   -3.042252    -4.7711835   -3.9928837   -3.8832219   -3.732098 ]",beeBird
11,"[-3.2462268e+02  9.3470001e+01 -7.3034462e+01  5.1639276e+00
  1.6600962e+01  2.1665648e+01 -1.4037471e+01 -3.1573141e+01
  1.6777319e+01  9.8055687e+00 -4.5838976e+00 -2.7342010e+00
  3.9093082e+00  1.5257329e+01 -1.8520662e+00 -1.0984191e+00
  1.2127526e+00 -2.4090873e-03 -2.2200477e+00  2.0567324e+00
 -5.6902375e+00 -2.1905200e+00 -2.2871380e+00 -4.7662997e+00
 -2.8003569e+00 -5.4853978e+00 -5.2430005e+00 -1.7371813e+00
 -4.8421812e+00 -6.0846901e+00 -1.0569128e+00 -3.3911273e+00
 -3.9714220e+00 -3.2126386e+00 -3.8362360e+00 -2.7451372e+00
 -3.9087315e+00 -4.8862214e+00 -4.0179505e+00 -1.2783712e+00]",beeBird
12,"[-3.6412128e+02  8.8456306e+01 -1.7101585e+01 -1.2364825e+01
  7.9175549e+00  1.8486376e+01  6.1551514e+00  1.6152729e+01
  1.1708663e+01  4.9185185e+00 -1.5006416e+00  2.0452180e+00
  4.3147165e-01 -6.5771878e-02 -5.3871541e+00 -8.8188104e-02
  1.9881234e+00  7.6384439e+00  7.7139205e-01  1.0852487e+00
 -4.3214936e+00 -3.5658610e+00 -3.3032179e+00  1.3160754e+00
  1.5830216e+00  6.6675138e-01 -4.4785376e+00 -3.1237142e+00
 -3.6502233e+00 -1.8241309e+00 -3.0957162e+00 -1.2429789e+00
 -2.0670049e+00 -2.0823476e+00 -4.4000143e-01  1.5933162e+00
  2.1457522e+00  2.3262560e+00  6.5813340e-02 -3.5291830e-01]",beeBird
